gbs_id,datum_verfuegung
b 00-10803,29.04.2013
b 00-10804,30.04.2013
b 00-10805,06.05.2013
b 00-10806,24.05.2013
b 00-10807,24.05.2013
b 00-10808,14.05.2013
b 00-10809,21.05.2013
b 00-10810,27.05.2013
b 00-10811,30.05.2013
b 00-10812,04.06.2013
b 00-10813,04.06.2013
b 00-10814,06.06.2013
b 00-10815,11.06.2013
b 00-10816,13.06.2013
b 00-10817,18.06.2013
b 00-10818,18.06.2013
b 00-10819,19.06.2013
b 00-10820,24.06.2013
b 00-10821,26.06.2013
b 00-10822,01.07.2013
b 00-10823,03.07.2013
b 00-10824,03.07.2013
b 00-10825,04.07.2013
b 00-10826,04.07.2013
b 00-10827,08.07.2013
b 00-10828,24.07.2013
b 00-10829,24.07.2013
b 00-10830,25.07.2013
b 00-10831,09.08.2013
b 00-10832,06.08.2013
b 00-10833,09.08.2013
b 00-10837,04.09.2013
b 00-10838,05.09.2013
b 00-10839,06.09.2013
b 00-10840,10.09.2013
b 00-10841,19.09.2013
b 00-10842,02.10.2013
b 00-10843,02.10.2013
b 00-10844,08.10.2013
b 00-10845,08.10.2013
b 00-10846,08.10.2013
b 00-10847,10.10.2013
b 00-10848,19.11.2013
b 00-10849,22.10.2013
b 00-10850,22.10.2013
b 00-10851,28.10.2013
b 00-10852,29.10.2013
b 00-10853,30.10.2013
b 00-10854,30.10.2013
b 00-10855,30.10.2013
b 00-10856,05.11.2013
b 00-10857,06.11.2013
b 00-10858,12.11.2013
b 00-10859,25.11.2013
b 00-10860,25.11.2013
b 00-10861,28.11.2013
b 00-10862,13.12.2013
b 00-10863,19.12.2013
b 00-10864,16.12.2013
b 00-10865,18.12.2013
b 00-10866,18.12.2013
b 00-10867,18.12.2013
b 00-10868,18.12.2013
b 00-10869,18.12.2013
b 00-10870,08.01.2014
b 00-10871,13.01.2014
b 00-10872,23.01.2014
b 00-10873,15.01.2014
b 00-10874,21.01.2014
b 00-10875,06.02.2014
b 00-10876,03.03.2014
b 00-10877,03.03.2014
b 00-10878,03.03.2014
b 00-10879,03.03.2014
b 00-10880,04.03.2014
b 00-10881,02.04.2014
b 00-10882,10.03.2014
b 00-10883,11.03.2014
b 00-10884,13.03.2014
b 00-10885,01.04.2014
b 00-10886,23.04.2014
b 00-10887,03.04.2014
b 00-10888,03.04.2014
b 00-10889,08.04.2014
b 00-10890,24.04.2014
b 00-10891,24.04.2014
b 00-10892,30.04.2014
b 00-10893,30.04.2014
b 00-10894,02.05.2014
b 00-10895,06.05.2014
b 00-10896,13.05.2014
b 00-10897,15.05.2014
b 00-10898,15.05.2014
b 00-10899,15.05.2014
b 00-10900,15.05.2014
b 00-10901,15.05.2014
b 00-10902,15.05.2014
b 00-10903,15.05.2014
b 00-10904,15.05.2014
b 00-10905,15.05.2014
b 00-10906,15.05.2014
b 00-10907,15.05.2014
b 00-10908,15.05.2014
b 00-10909,15.05.2014
b 00-10910,22.05.2014
b 00-10911,22.05.2014
b 00-10912,22.05.2014
b 00-10913,03.06.2014
b 00-10914,05.06.2014
b 00-10915,10.06.2014
b 00-10916,11.06.2014
b 00-10917,01.07.2014
b 00-10918,01.07.2014
b 00-10919,08.07.2014
b 00-10920,09.07.2014
b 00-10921,18.07.2014
b 00-10922,15.07.2014
b 00-10923,18.07.2014
b 00-10924,18.07.2014
b 00-10925,18.07.2014
b 00-10926,18.08.2014
b 00-10927,30.07.2014
b 00-10928,07.08.2014
b 00-10929,05.08.2014
b 00-10930,18.08.2014
b 00-10931,12.08.2014
b 00-10932,12.08.2014
b 00-10933,12.08.2014
b 00-10934,12.08.2014
b 00-10935,12.08.2014
b 00-10936,12.08.2014
b 00-10937,18.08.2014
b 00-10938,18.08.2014
b 00-10939,19.08.2014
b 00-10940,27.08.2014
